Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2020-11-09,29.7299861907959,30.599423662961126,29.029605578361508,29.319416021770387,76879400
2020-11-10,30.389551162719727,30.859492416158844,29.664026555017315,30.546197198845878,49055400
2020-11-11,30.076251983642578,30.603905030626795,29.837158213896526,30.579172276880733,34124500
2020-11-12,29.045686721801758,29.919614289594627,28.748881014058476,29.5650967103525,30933700
2020-11-13,29.746475219726562,29.88663170706848,29.169353426715848,29.185842980237382,29241500
2020-11-16,31.461347579956055,31.469590784102547,30.58742012257424,30.991406317088106,38596800
2020-11-17,31.881818771362305,31.91479787660973,30.818269360147813,31.17278687890617,26521100
2020-11-18,30.67810821533203,32.261070593109096,30.6698650119589,32.17037963070254,31068000
2020-11-19,30.834760665893555,30.917205288638957,30.142215141625613,30.389552154922573,26954400
2020-11-20,30.45550537109375,30.843001993554232,30.32359209569069,30.793533335880372,18351000
2020-11-23,32.45069122314453,32.50840307393799,30.735815813681775,30.917197713352643,29367600
2020-11-24,34.610782623291016,34.69323039646551,33.15973641109047,33.3988270906441,46979300
2020-11-25,33.64616775512695,34.38817885413824,33.51425446118754,34.35519974438813,28178200
2020-11-27,33.1349983215332,33.753342426791136,32.871171754894675,33.55547407434262,14971900
2020-11-30,31.436613082885742,32.879415898358346,31.304699808416384,32.813457688593395,45614300
2020-12-01,31.74166488647461,32.68979379695208,31.716932128047475,32.12091519264126,32472900
2020-12-02,32.92888259887695,33.324622436565505,31.609749806581785,31.650972116642137,29369500
2020-12-03,33.151493072509766,33.50601066670978,32.75575316050862,33.036069324642085,27038900
2020-12-04,34.363441467285156,34.42939653284344,33.51424994846101,33.61318411932872,28723600
2020-12-07,33.720375061035156,34.24802832882596,33.530746719427626,34.14909098231902,24899400
2020-12-08,34.82513427734375,35.11369354282186,33.341106211856,33.41530761513039,32573800
2020-12-09,35.286827087402344,36.053573829106796,34.94055598859901,35.2126256883645,37824800
2020-12-10,36.28443145751953,36.66368490677551,35.25385792760172,35.616621822971716,38058700
2020-12-11,36.111297607421875,36.21847814033887,35.62486675195058,36.02885297906171,25478800
2020-12-14,34.808650970458984,36.6554368908794,34.77567186418631,36.556502717122044,30595000
2020-12-15,35.48471450805664,35.63311737294183,34.676745102049104,34.990037243418875,27138400
2020-12-16,36.02885055541992,36.366878541055186,35.41874965338857,36.070072866827,34273000
2020-12-17,35.84746551513672,36.309163540178744,35.78151045159385,36.27618443587707,21204600
2020-12-18,35.229122161865234,36.09480322408262,34.97353881604235,35.67433064359779,46596800
2020-12-21,34.5860481262207,34.69322865343218,33.41531496644973,33.89350259165414,27869500
2020-12-22,34.00067901611328,34.54482164582273,33.99243266767472,34.280995106876354,21792900
2020-12-23,34.43764877319336,34.948812412695645,34.18206538091165,34.22328769707035,19085900
2020-12-24,34.297481536865234,34.50359621712298,34.116102756879506,34.33870698896513,8039000
2020-12-28,34.41291427612305,35.08072394135686,34.23153232010351,34.37168881698336,23877500
2020-12-29,34.02540969848633,34.72619831017188,33.96769784317388,34.660243251983474,20287700
2020-12-30,34.297481536865234,34.973537436505815,34.02541179435643,34.074880449840045,23807300
2020-12-31,33.984188079833984,34.36343832098678,33.77807340811264,34.19030275155532,22786500
2021-01-04,34.21503829956055,34.83338236521526,33.80280892245741,34.173815990862344,27764700
2021-01-05,35.86396026611328,36.93575615080103,34.48711548506646,34.49535868980657,44035100
2021-01-06,36.77910614013672,37.18308917518375,36.02884878713162,36.614213757540526,36484800
2021-01-07,37.067665100097656,37.57058544697942,36.713147581642005,37.10064420531692,29528100
2021-01-08,37.47990798950195,37.77671375333554,37.059435254112174,37.2655500184342,28628200
2021-01-11,38.617652893066406,38.86498992054822,36.894533760355735,37.13362758311456,38246200
2021-01-12,39.4750862121582,39.71417686172309,38.67536021050918,39.12881189837985,36915100
2021-01-13,39.92029571533203,40.15938953489755,39.318441136642235,40.01098669137833,29000300
2021-01-14,41.4785270690918,42.11336077926377,39.98625537543603,39.98625537543603,35474800
2021-01-15,39.48332977294922,40.46443771664265,38.98865577171902,40.32427809108905,42411300
2021-01-19,40.26655960083008,40.76123352063194,39.862573488445825,39.94502123845286,24932600
2021-01-20,40.83543395996094,41.008572658362,40.39022870066393,40.48916285327883,22342400
2021-01-21,39.66471481323242,40.720021109178965,39.31019726473897,40.6705555922195,29044500
2021-01-22,39.10408020019531,39.27721578923916,38.45275700896105,38.75780587704697,23264800
2021-01-25,38.6671142578125,38.79078117567967,38.05701343646263,38.6671142578125,26395800
2021-01-26,37.81792449951172,39.45859890506193,37.80143494600671,38.96392173509378,23976800
2021-01-27,37.38920211791992,38.469244185587925,36.713146211459176,37.10064282067221,32410300
2021-01-28,37.974571228027344,38.41153335992271,37.66951922551497,37.875633913399284,24967200
2021-01-29,36.96873474121094,37.95808598437321,36.69666181269043,37.55409976643512,38961100
2021-02-01,37.03468704223633,37.57883285856116,36.515280273116446,37.57883285856116,24412400
2021-02-02,37.62006378173828,38.74132848712923,37.33150125443425,37.76846664833775,31940400
2021-02-03,39.09583282470703,39.30194751436507,37.44691530744275,37.62005403700154,28459300
2021-02-04,39.84609603881836,39.88731835055645,38.955679008983836,39.475088943053976,25280300
2021-02-05,41.18171310424805,41.32186957501526,40.43145580557669,40.54687952151684,34980100
2021-02-08,42.95430374145508,43.16866479827196,41.80830647212592,41.9814420714359,36998700
2021-02-09,42.451229095458984,42.727919221824756,41.730153010883114,42.4847650633569,28977000
2021-02-10,42.86206817626953,43.11360550061203,42.24999284759688,42.45122462615325,25723800
2021-02-11,41.78884506225586,42.70276655814023,40.90007634197854,42.66922739168351,26972200
2021-02-12,42.35900115966797,42.51830741414494,41.428310013288765,41.44507959772916,19756700
2021-02-16,43.633460998535156,44.044304624630755,43.28130612055344,43.56638266045437,28060100
2021-02-17,44.31259536743164,44.66475011657105,43.432213292288175,43.89336550322332,25509700
2021-02-18,43.61668395996094,44.388065525234296,43.48253050519728,44.279068042187404,20627600
2021-02-19,43.9101448059082,44.069454236608706,43.532837204868514,43.69214663556902,22607200
2021-02-22,45.528377532958984,45.9559939257244,44.0946116951549,44.0946116951549,36435100
2021-02-23,46.1572151184082,46.3332909231495,45.058834737761536,46.098523183494436,33527900
2021-02-24,47.54068374633789,47.79222111249892,46.00630037535467,46.27460732572259,28728600
2021-02-25,46.75252151489258,48.00182814377824,46.40875309193273,47.77544359229679,29670900
2021-02-26,45.587066650390625,46.165606063730074,44.53899171140859,45.62060581607106,35291000
2021-03-01,47.28913879394531,48.30367448717431,47.06275424117617,47.34783073001836,36998300
2021-03-02,47.012454986572266,47.758683923109714,46.97053262355344,47.498763353310224,30302600
2021-03-03,47.38976287841797,48.597144210907196,46.8531489528672,47.305914953506104,35358900
2021-03-04,49.225975036621094,49.86320628801374,47.876054220916785,47.89282380105558,52137500
2021-03-05,51.087364196777344,51.187978493605115,49.56136736792766,50.16505954583596,51429800
2021-03-08,51.03705978393555,51.657521597092234,50.156677415358324,51.63236882036666,38154600
2021-03-09,50.248897552490234,51.47304812897639,49.86320680074316,50.81905048919044,35645900
2021-03-10,51.79167175292969,51.91743882697273,50.33275002534578,50.74359681021653,31579100
2021-03-11,51.405967712402344,52.445655996868005,51.36404216670657,51.800041614488,24802600
2021-03-12,51.9593620300293,52.29474407742429,51.565284845907655,51.60720720202318,20422700
2021-03-15,50.63459777832031,51.867134974813496,50.198598204061014,51.55690567718571,31243600
2021-03-16,49.561363220214844,50.02251550709243,48.99959344645919,49.9219012186849,30624800
